Time_1Hz,17.T_Engine Room,18.T_Engine Room 2,19.T_Engine Room Surface,20.T_Fan Guard Around,21.T_NOx Sensor Down Under,1.T_Air,2.T_DP Sensor Surface Up,4.T_DP Sensor Surface Down,5.T_DP Sensor Surface In,6.T_DP Sensor Above,7.T_DP Sensor Under,8.T_NOx Sensor Up Above,9.T_NOx Sensor Up Surface,10.T_NOx Sensor Up Around,11.T_Reservoir Around Left,12.T_Reservoir Around Right,13.T_NOx Sensor Down Surface,14.T_NOx Sensor Down Around,15.T_DM Surface,16.T_DM Around
0.575881,70.35507744,74.28274968,77.9485771,69.61318379,82.79270619,46.96360723,81.3525597,81.3089189,81.3525597,80.17425803,80.65430686,79.47600519,81.09071489,76.11566339,80.47974365,79.43236439,85.67299916,83.22911421,81.65804532,78.34134432
1.575881,70.35507744,74.15182727,77.9485771,69.52590219,82.74906538,46.87632563,81.3525597,81.3089189,81.3089189,80.17425803,80.87251087,79.51964599,81.04707408,75.98474098,80.74158846,79.38872358,85.67299916,83.22911421,81.61440452,78.34134432
2.575881,70.39871824,74.10818647,77.9485771,69.48226139,82.74906538,46.57084001,81.3525597,81.3089189,81.3525597,80.21789883,80.87251087,79.30144198,81.04707408,76.02838178,80.61066606,79.34508278,85.71663996,83.27275502,81.52712291,78.29770352
3.575881,70.26779583,74.15182727,77.9485771,69.35133898,82.70542458,46.61448081,81.3525597,81.3089189,81.3525597,80.34882124,81.17799649,79.30144198,81.04707408,76.15930419,80.65430686,79.17051957,85.67299916,83.22911421,81.43984131,78.21042191
4.575881,70.35507744,73.88998245,78.0358587,69.43862058,82.74906538,46.70176242,81.3962005,81.3089189,81.3089189,80.17425803,81.04707408,79.47600519,81.00343328,76.15930419,80.34882124,79.25780117,85.62935836,83.14183261,81.3525597,78.0358587
5.575881,70.26779583,73.71541924,77.9922179,69.35133898,82.79270619,46.52719921,81.3525597,81.3089189,81.2652781,80.17425803,81.2652781,79.56328679,81.00343328,75.94110018,80.04333562,79.25780117,85.58571756,83.22911421,81.43984131,77.9922179
6.575881,70.13687343,73.67177844,77.90493629,69.26405737,82.83634699,46.4835584,81.3089189,81.3089189,81.2652781,80.17425803,81.3089189,79.47600519,81.04707408,75.89745937,80.17425803,79.21416037,85.58571756,83.22911421,81.3962005,77.86129549
7.575881,70.18051423,73.75906004,77.9485771,69.26405737,82.87998779,46.352636,81.3089189,81.3525597,81.2652781,80.21789883,81.52712291,79.43236439,81.00343328,75.89745937,80.21789883,79.25780117,85.10566873,83.18547341,81.3962005,77.73037308
8.575881,70.13687343,73.75906004,77.9922179,69.22041657,82.83634699,46.26535439,81.2652781,81.2652781,81.22163729,80.08697642,81.13435569,79.30144198,81.00343328,75.89745937,80.30518044,79.12687877,83.70916304,83.09819181,81.3525597,77.77401389
9.575881,70.13687343,73.75906004,77.90493629,69.17677577,82.83634699,46.26535439,81.2652781,81.22163729,81.13435569,80.13061723,80.87251087,79.12687877,81.00343328,75.89745937,80.30518044,79.03959716,84.36377508,83.0109102,81.3525597,77.73037308
10.575881,70.09323262,73.71541924,77.81765469,69.17677577,82.79270619,46.57084001,81.2652781,81.17799649,81.09071489,79.91241321,80.56702525,79.03959716,80.95979248,75.76653696,80.17425803,79.03959716,85.23659113,82.9672694,81.13435569,77.81765469
11.575881,70.09323262,73.71541924,77.81765469,69.13313497,82.79270619,46.78904402,81.22163729,81.13435569,81.09071489,79.86877241,80.56702525,78.69047074,80.95979248,75.72289616,80.08697642,79.08323796,85.45479515,82.87998779,80.43610285,77.77401389
12.575881,70.26779583,73.58449683,77.86129549,69.08949416,82.79270619,47.00724804,81.22163729,81.17799649,81.13435569,79.99969482,80.61066606,78.51590753,80.87251087,75.85381857,80.04333562,78.90867475,85.54207675,82.9236286,79.56328679,77.64309148
13.575881,70.09323262,73.54085603,77.81765469,69.13313497,82.74906538,46.96360723,81.22163729,81.22163729,81.13435569,79.95605402,80.56702525,78.69047074,81.00343328,75.81017777,79.91241321,79.08323796,85.58571756,82.9672694,80.30518044,77.59945068
14.575881,70.00595102,73.49721523,77.68673228,69.08949416,82.74906538,46.91996643,81.17799649,81.22163729,81.09071489,80.04333562,80.61066606,78.64682994,80.95979248,75.85381857,80.17425803,79.12687877,85.62935836,82.83634699,80.82887007,77.59945068
15.575881,69.96231022,73.40993362,77.73037308,69.04585336,82.74906538,46.91996643,81.22163729,81.22163729,81.09071489,79.99969482,80.56702525,78.64682994,80.95979248,75.85381857,80.17425803,78.95231556,85.67299916,82.79270619,81.04707408,77.64309148
16.575881,69.96231022,73.32265202,77.73037308,69.08949416,82.74906538,46.74540322,81.13435569,81.17799649,81.09071489,79.91241321,80.56702525,78.77775235,80.95979248,75.67925536,79.95605402,78.69047074,85.67299916,82.83634699,81.17799649,77.55580987
17.575881,70.04959182,73.45357443,77.68673228,69.17677577,82.74906538,46.87632563,81.13435569,81.13435569,81.04707408,79.82513161,80.43610285,78.77775235,80.95979248,75.50469215,80.04333562,78.77775235,85.67299916,82.79270619,81.22163729,77.55580987
18.575881,69.96231022,73.58449683,77.68673228,69.13313497,82.74906538,47.00724804,81.13435569,81.09071489,80.95979248,79.6942092,80.21789883,78.82139315,80.95979248,75.50469215,79.91241321,78.95231556,85.67299916,82.74906538,81.22163729,77.46852827
19.575881,70.04959182,73.62813764,77.64309148,69.08949416,82.70542458,47.22545205,81.09071489,81.09071489,80.91615167,79.6942092,80.34882124,78.73411154,80.91615167,75.59197375,79.56328679,79.17051957,85.62935836,82.83634699,81.22163729,77.33760586
20.575881,70.09323262,73.45357443,77.59945068,69.04585336,82.70542458,47.18181125,81.09071489,81.09071489,80.91615167,79.6069276,80.56702525,78.69047074,80.95979248,75.46105135,79.6942092,79.34508278,85.67299916,82.83634699,81.2652781,77.33760586
21.575881,69.91866941,73.45357443,77.59945068,69.04585336,82.70542458,47.09452964,81.00343328,81.13435569,80.95979248,79.82513161,81.13435569,78.95231556,80.95979248,75.41741054,79.78149081,79.34508278,85.62935836,82.83634699,81.2652781,77.33760586
22.575881,69.87502861,73.40993362,77.55580987,69.08949416,82.74906538,47.13817044,81.04707408,81.17799649,81.00343328,79.91241321,80.87251087,78.86503395,80.95979248,75.50469215,80.08697642,79.17051957,85.58571756,82.83634699,81.3525597,77.33760586
23.575881,69.91866941,73.45357443,77.55580987,69.08949416,82.70542458,47.26909285,81.09071489,81.13435569,80.95979248,79.91241321,80.65430686,78.64682994,80.95979248,75.59197375,80.08697642,78.99595636,85.62935836,82.74906538,81.3525597,77.29396506
24.575881,70.00595102,73.58449683,77.55580987,69.08949416,82.70542458,47.22545205,81.00343328,81.13435569,80.95979248,79.82513161,80.74158846,78.73411154,80.87251087,75.54833295,79.95605402,78.69047074,85.58571756,82.70542458,81.22163729,77.25032425
25.575881,69.87502861,73.58449683,77.46852827,69.00221256,82.70542458,47.22545205,81.00343328,81.00343328,80.87251087,79.56328679,80.39246204,78.77775235,80.91615167,75.46105135,79.95605402,78.64682994,85.58571756,82.70542458,81.22163729,77.38124666
26.575881,69.91866941,73.36629282,77.46852827,69.00221256,82.70542458,47.48729686,81.00343328,81.00343328,80.82887007,79.51964599,80.30518044,78.42862593,80.87251087,75.33012894,80.08697642,78.64682994,85.58571756,82.70542458,81.13435569,77.29396506
27.575881,69.91866941,73.14808881,77.51216907,68.95857176,82.70542458,47.61821927,80.95979248,80.95979248,80.82887007,79.56328679,80.34882124,78.25406271,80.82887007,75.24284733,79.82513161,78.77775235,85.58571756,82.74906538,81.17799649,77.29396506
28.575881,69.91866941,73.0608072,77.46852827,68.95857176,82.70542458,47.74914168,80.95979248,80.95979248,80.82887007,79.47600519,80.30518044,78.47226673,80.82887007,75.28648814,79.6069276,78.64682994,85.62935836,82.79270619,81.13435569,77.33760586
29.575881,70.09323262,73.23537041,77.55580987,68.95857176,82.66178378,47.88006409,80.91615167,80.95979248,80.82887007,79.56328679,80.56702525,78.60318914,80.82887007,75.24284733,79.34508278,78.38498512,85.58571756,82.83634699,80.91615167,77.29396506
30.575881,69.87502861,73.23537041,77.51216907,68.95857176,82.66178378,47.70550088,80.87251087,80.95979248,80.78522927,79.47600519,80.34882124,78.51590753,80.78522927,75.15556573,79.51964599,78.38498512,85.54207675,82.83634699,80.87251087,77.33760586
31.575881,69.87502861,73.19172961,77.55580987,68.95857176,82.70542458,47.57457847,80.87251087,80.87251087,80.65430686,79.25780117,80.17425803,78.69047074,80.82887007,75.24284733,79.38872358,78.77775235,85.49843595,82.74906538,80.69794766,77.16304265
32.575881,69.87502861,73.32265202,77.46852827,68.95857176,82.66178378,47.44365606,80.82887007,80.87251087,80.65430686,79.21416037,80.21789883,78.77775235,80.78522927,75.37376974,79.34508278,78.38498512,85.49843595,82.83634699,80.30518044,77.03212024
33.575881,69.83138781,73.19172961,77.46852827,68.95857176,82.66178378,47.26909285,80.82887007,80.87251087,80.69794766,79.43236439,80.34882124,79.12687877,80.74158846,75.41741054,79.6505684,78.51590753,85.41115435,82.74906538,79.34508278,77.07576104
34.575881,69.96231022,73.104448,77.55580987,68.91493095,82.70542458,47.22545205,80.82887007,80.87251087,80.65430686,79.30144198,80.08697642,79.12687877,80.78522927,75.33012894,79.6505684,78.51590753,85.36751354,82.74906538,79.03959716,77.20668345
35.575881,69.83138781,73.0171664,77.46852827,68.82764935,82.61814298,47.13817044,80.74158846,80.87251087,80.69794766,79.38872358,80.21789883,79.25780117,80.74158846,75.19920653,79.30144198,78.47226673,85.32387274,82.74906538,79.95605402,77.07576104
36.575881,70.00595102,73.14808881,77.42488746,68.82764935,82.66178378,47.05088884,80.78522927,80.78522927,80.65430686,79.30144198,80.17425803,79.12687877,80.74158846,75.28648814,79.12687877,78.34134432,85.28023194,82.70542458,80.61066606,77.11940185
37.575881,69.91866941,73.19172961,77.33760586,68.78400855,82.66178378,47.05088884,80.74158846,80.78522927,80.61066606,79.30144198,80.30518044,78.99595636,80.78522927,75.28648814,79.03959716,78.21042191,85.14930953,82.66178378,80.95979248,77.03212024
